Year,Stewards,MappedNests,NestsObserved,ActiveNests,AbandonedNests,InactiveNests,TotalFledglings
2014,100,414,174,210,9,29,NA
2015,146,506,285,241,22,34,307
2016,224,606,420,337,12,73,490
